filename,korean_name,english_name,source_file,pixels
card_bash.webp,강타,Bash,Bash.png,678x874
card_defend.webp,수비,Defend,Defend_R.png,678x874
card_strike.webp,타격,Strike,Strike_R.png,678x874
card_anger.webp,분노,Anger,Anger.png,678x874
card_armaments.webp,전투장비,Armaments,Armaments.png,678x874
card_body_slam.webp,몸통 박치기,Body Slam,BodySlam.png,678x874
card_clash.webp,격돌,Clash,Clash.png,678x874
card_cleave.webp,절단,Cleave,Cleave.png,678x874
card_clothesline.webp,클로스라인,Clothesline,Clothesline.png,678x874
card_flex.webp,몸 풀기,Flex,Flex.png,678x874
card_havoc.webp,파괴,Havoc,Havoc.png,678x874
card_headbutt.webp,박치기,Headbutt,Headbutt.png,678x874
card_heavy_blade.webp,대검,Heavy Blade,HeavyBlade.png,678x874
card_iron_wave.webp,철의 파동,Iron Wave,IronWave.png,678x874
card_perfected_strike.webp,완벽한 타격,Perfected Strike,PerfectedStrike.png,678x874
card_pommel_strike.webp,폼멜 타격,Pommel Strike,PommelStrike.png,678x874
card_shrug_it_off.webp,흘려보내기,Shrug it Off,ShrugItOff.png,678x874
card_sword_boomerang.webp,부메랑 칼날,Sword Boomerang,SwordBoomerang.png,678x874
card_thunderclap.webp,천둥,Thunderclap,Thunderclap.png,678x874
card_true_grit.webp,진정한 끈기,True Grit,TrueGrit.png,678x874
card_twin_strike.webp,이중 타격,Twin Strike,TwinStrike.png,678x874
card_warcry.webp,전투의 함성,Warcry,Warcry.png,678x874
card_wild_strike.webp,난폭한 타격,Wild Strike,WildStrike.png,678x874
card_battle_trance.webp,전투 최면,Battle Trance,BattleTrance.png,678x874
card_blood_for_blood.webp,피에는 피,Blood for Blood,BloodforBlood.png,678x874
card_bloodletting.webp,사혈,Bloodletting,Bloodletting.png,678x874
card_burning_pact.webp,불타는 조약,Burning Pact,BurningPact.png,678x874
card_carnage.webp,대학살,Carnage,Carnage.png,678x874
card_combust.webp,연소,Combust,Combust.png,678x874
card_dark_embrace.webp,어둠의 포옹,Dark Embrace,DarkEmbrace.png,678x874
card_disarm.webp,무장 해제,Disarm,Disarm.png,678x874
card_dropkick.webp,드롭킥,Dropkick,Dropkick.png,678x874
card_dual_wield.webp,이도류,Dual Wield,DualWield.png,678x874
card_entrench.webp,참호,Entrench,Entrench.png,678x874
card_evolve.webp,진화,Evolve,Evolve.png,678x874
card_feel_no_pain.webp,무감각,Feel No Pain,FeelNoPain.png,678x874
card_fire_breathing.webp,불 뿜기,Fire Breathing,FireBreathing.png,678x874
card_flame_barrier.webp,화염 장벽,Flame Barrier,FlameBarrier.png,678x874
card_ghostly_armor.webp,유령 갑옷,Ghostly Armor,GhostlyArmor.png,678x874
card_hemokinesis.webp,혈류,Hemokinesis,Hemokinesis.png,678x874
card_infernal_blade.webp,지옥검,Infernal Blade,InfernalBlade.png,678x874
card_inflame.webp,발화,Inflame,Inflame.png,678x874
card_intimidate.webp,위압,Intimidate,Intimidate.png,678x874
card_metallicize.webp,금속화,Metallicize,Metallicize.png,678x874
card_power_through.webp,난관 극복,Power Through,PowerThrough.png,678x874
card_pummel.webp,연타,Pummel,Pummel.png,678x874
card_rage.webp,격노,Rage,Rage.png,678x874
card_rampage.webp,광란,Rampage,Rampage.png,678x874
card_reckless_charge.webp,무모한 돌진,Reckless Charge,RecklessCharge.png,678x874
card_rupture.webp,파열,Rupture,Rupture.png,678x874
card_searing_blow.webp,불태우는 일격,Searing Blow,SearingBlow.png,678x874
card_second_wind.webp,기사회생,Second Wind,SecondWind.png,678x874
card_seeing_red.webp,혈안,Seeing Red,SeeingRed.png,678x874
card_sentinel.webp,감시병,Sentinel,Sentinel.png,678x874
card_sever_soul.webp,영혼 절단,Sever Soul,SeverSoul.png,678x874
card_shockwave.webp,충격파,Shockwave,Shockwave.png,678x874
card_spot_weakness.webp,약점 분석,Spot Weakness,SpotWeakness.png,678x874
card_uppercut.webp,어퍼컷,Uppercut,Uppercut.png,678x874
card_whirlwind.webp,소용돌이,Whirlwind,Whirlwind.png,678x874
card_barricade.webp,바리케이드,Barricade,Barricade.png,678x874
card_berserk.webp,광폭화,Berserk,Berserk.png,678x874
card_bludgeon.webp,몽둥이질,Bludgeon,Bludgeon.png,678x874
card_brutality.webp,잔혹성,Brutality,Brutality.png,678x874
card_corruption.webp,타락,Corruption,Corruption.png,678x874
card_demon_form.webp,악마의 형상,Demon Form,DemonForm.png,678x874
card_double_tap.webp,연사,Double Tap,DoubleTap.png,678x874
card_exhume.webp,발굴,Exhume,Exhume.png,678x874
card_feed.webp,포식,Feed,Feed.png,678x874
card_fiend_fire.webp,지옥불,Fiend Fire,FiendFire.png,678x874
card_immolate.webp,화형,Immolate,Immolate.png,678x874
card_impervious.webp,무적,Impervious,Impervious.png,678x874
card_juggernaut.webp,절대적인 힘,Juggernaut,Juggernaut.png,678x874
card_limit_break.webp,한계 돌파,Limit Break,LimitBreak.png,678x874
card_offering.webp,제물,Offering,Offering.png,678x874
card_reaper.webp,사신,Reaper,Reaper.png,678x874
