filename,korean_name,english_name,source_file,pixels
potion_ambrosia.webp,암브로시아,Ambrosia,Ambrosia.png,64x64
potion_ancient_potion.webp,고대 포션,Ancient Potion,AncientPotion.png,64x64
potion_attack_potion.webp,공격 포션,Attack Potion,AttackPotion.png,64x64
potion_blessing_of_the_forge.webp,재련의 축복,Blessing of the Forge,Blessing Of The Forge temporary.png,64x64
potion_block_potion.webp,방어도 포션,Block Potion,BlockPotion.png,64x64
potion_blood_potion.webp,피 포션,Blood Potion,BloodPotion.png,64x64
potion_bottled_miracle.webp,병 속의 기적,Bottled Miracle,BottledMiracle.png,64x64
potion_colorless_potion.webp,무색 포션,Colorless Potion,Colorless Potion.png,64x64
potion_cultist_potion.webp,광신자 포션,Cultist Potion,CultistPotion.png,64x64
potion_dexterity_potion.webp,민첩 포션,Dexterity Potion,DexterityPotion.png,64x64
potion_elixir.webp,엘릭서,Elixir,Elixir.png,64x64
potion_energy_potion.webp,에너지 포션,Energy Potion,EnergyPotion.png,64x64
potion_essence_of_darkness.webp,암흑의 정수,Essence of Darkness,EssenceOfDarkness.png,64x64
potion_essence_of_steel.webp,강철의 정수,Essence of Steel,EssenceOfSteel.png,64x64
potion_explosive_potion.webp,폭발 포션,Explosive Potion,ExplosivePotion.png,64x64
potion_fairy_in_a_bottle.webp,병 속의 요정,Fairy in a Bottle,FairyinaBottle.png,64x64
potion_fear_potion.webp,공포 포션,Fear Potion,FearPotion.png,64x64
potion_fire_potion.webp,화염 포션,Fire Potion,FirePotion.png,64x64
potion_flex_potion.webp,,Flex Potion,SteroidPotion.png,64x64
potion_focus_potion.webp,밀집 포션,Focus Potion,FocusPotion.png,64x64
potion_fruit_juice.webp,과일 주스,Fruit Juice,FruitJuice.png,64x64
potion_gamblers_brew.webp,도박꾼의 영액,Gambler's Brew,GamblersBrew.png,64x64
potion_ghost_in_a_jar.webp,단지 속의 유령,Ghost In A Jar,GhostInAJar.png,64x64
potion_heart_of_iron.webp,무쇠의 심장,Heart of Iron,HeartofIron.png,64x64
potion_liquid_bronze.webp,청동 액체,Liquid Bronze,LiquidBronze.png,64x64
potion_liquid_memories.webp,액상 기억,Liquid Memories,LiquidMemories.png,64x64
potion_poison_potion.webp,중독 포션,Poison Potion,PoisonPotion.png,64x64
potion_potion_of_capacity.webp,수용의 포션,Potion of Capacity,PotionofCapacity.png,64x64
potion_power_potion.webp,파워 포션,Power Potion,PowerPotion.png,64x64
potion_regen_potion.webp,재생 포션,Regen Potion,RegenPotion.png,64x64
potion_skill_potion.webp,스킬 포션,Skill Potion,SkillPotion.png,64x64
potion_smoke_bomb.webp,연막탄,Smoke Bomb,SmokeBomb.png,64x64
potion_snecko_oil.webp,스네코 기름,Snecko Oil,SneckoOil.png,64x64
potion_speed_potion.webp,속도 포션,Speed Potion,SpeedPotion.png,64x64
potion_stance_potion.webp,경지 포션,Stance Potion,StancePotion.png,64x64
potion_strength_potion.webp,힘 포션,Strength Potion,StrengthPotion.png,64x64
potion_swift_potion.webp,신속 포션,Swift Potion,SwiftPotion.png,64x64
potion_weak_potion.webp,약화 포션,Weak Potion,WeakPotion.png,64x64
